,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,12/2/2022,94.480003,95.360001,93.779999,94.129997,94.129997,72496400
TSLA,12/5/2022,93.050003,94.059998,90.82,91.010002,91.010002,71535500
TSLA,12/6/2022,90.5,91.040001,87.900002,88.25,88.25,75503600
TSLA,12/7/2022,88.339996,89.889999,87.480003,88.459999,88.459999,68086900
TSLA,12/8/2022,89.239998,90.860001,87.879997,90.349998,90.349998,73305900
TSLA,12/9/2022,88.900002,90.300003,88.629997,89.089996,89.089996,67398500
TSLA,12/12/2022,89.209999,90.580002,87.870003,90.550003,90.550003,61999800
TSLA,12/13/2022,95.230003,96.25,90.519997,92.489998,92.489998,100212000
TSLA,12/14/2022,92.5,93.459999,89.870003,91.580002,91.580002,70298000
TSLA,12/15/2022,89.889999,89.970001,87.470001,88.449997,88.449997,84802900
TSLA,12/16/2022,88.269997,89.349998,86.730003,87.860001,87.860001,146144100
TSLA,12/19/2022,87.510002,87.629997,84.510002,84.919998,84.919998,83531500
TSLA,12/20/2022,85.330002,86.610001,84.330002,85.190002,85.190002,74348300
TSLA,12/21/2022,86.18,87.230003,85.209999,86.769997,86.769997,59267200
TSLA,12/22/2022,85.519997,85.68,82.25,83.790001,83.790001,81431300
TSLA,12/23/2022,83.25,85.779999,82.93,85.25,85.25,57433700
TSLA,12/27/2022,84.970001,85.349998,83,83.040001,83.040001,57284000
TSLA,12/28/2022,82.800003,83.480003,81.690002,81.82,81.82,58228600
TSLA,12/29/2022,82.870003,84.550003,82.550003,84.18,84.18,54995900
TSLA,12/30/2022,83.120003,84.050003,82.470001,84,84,62401200
TSLA,1/3/2023,85.459999,86.959999,84.209999,85.82,85.82,76706000
TSLA,1/4/2023,86.550003,86.980003,83.360001,85.139999,85.139999,68885100
TSLA,1/5/2023,85.330002,85.419998,83.07,83.120003,83.120003,67930800
TSLA,1/6/2023,83.029999,86.400002,81.43,86.080002,86.080002,83303400
TSLA,1/9/2023,87.459999,89.480003,87.080002,87.360001,87.360001,65266100
TSLA,1/10/2023,87.57,90.190002,87.290001,89.870003,89.870003,67756600
TSLA,1/11/2023,90.93,95.260002,90.93,95.089996,95.089996,103126200
TSLA,1/12/2023,96.93,97.190002,93.5,95.269997,95.269997,85254800
TSLA,1/13/2023,94.18,98.370003,94.120003,98.120003,98.120003,85549400
TSLA,1/17/2023,98.68,98.889999,95.730003,96.050003,96.050003,72755000
TSLA,1/18/2023,97.25,99.32,95.379997,95.459999,95.459999,79570400
TSLA,1/19/2023,94.739998,95.440002,92.860001,93.68,93.68,69002700
TSLA,1/20/2023,93.860001,97.349998,93.199997,97.25,97.25,67481500
TSLA,1/23/2023,97.559998,97.779999,95.860001,97.519997,97.519997,76501100
TSLA,1/24/2023,96.93,98.089996,96,96.32,96.32,66929500
TSLA,1/25/2023,92.559998,97.239998,91.519997,97.18,97.18,94261600
TSLA,1/26/2023,98.239998,99.489998,96.919998,99.220001,99.220001,68523600
TSLA,1/27/2023,99.529999,103.489998,99.529999,102.239998,102.239998,87775600
TSLA,1/30/2023,101.089996,101.739998,99.010002,100.550003,100.550003,70691900
TSLA,1/31/2023,101.160004,103.349998,101.139999,103.129997,103.129997,66527300
TSLA,2/1/2023,102.529999,106.239998,101.239998,105.150002,105.150002,80450100
TSLA,2/2/2023,110.25,114,108.879997,112.910004,112.910004,158154200
TSLA,2/3/2023,105.260002,108.779999,102.519997,103.389999,103.389999,144374800
TSLA,2/6/2023,102.93,103.949997,100.650002,102.18,102.18,81945200
TSLA,2/7/2023,101.169998,102.410004,98.080002,102.110001,102.110001,119501300
TSLA,2/8/2023,102.040001,102.669998,98.779999,100.050003,100.050003,75878300
TSLA,2/9/2023,101.32,101.779999,97.57,98.239998,98.239998,64622500
TSLA,2/10/2023,97.559998,98.82,96.230003,97.610001,97.610001,52740100
TSLA,2/13/2023,97.849998,99.68,96.910004,99.540001,99.540001,52841500
TSLA,2/14/2023,98.410004,100.919998,97.519997,99.699997,99.699997,56202900
TSLA,2/15/2023,99.089996,101.169998,98.449997,101.160004,101.160004,47957600
TSLA,2/16/2023,99.209999,100.629997,98.099998,98.150002,98.150002,56339200
TSLA,2/17/2023,97.800003,97.940002,95.650002,97.199997,97.199997,60029400
TSLA,2/21/2023,95.339996,95.610001,94.269997,94.580002,94.580002,56580400
TSLA,2/22/2023,95.099998,97.010002,94.800003,95.790001,95.790001,59534100
TSLA,2/23/2023,96.120003,96.43,93.669998,95.82,95.82,48467000
TSLA,2/24/2023,93.529999,94.139999,92.32,93.5,93.5,57053800
